so too does the idea that accommodating religious differences is dangerous	L’ idée de concilier les différences religieuses semble donc dangereuse .
mr president ladies and gentlemen the financial perspective outlines the scope of the eu ’s activities over coming years as well as providing a framework for such activities and determining how effective they will be	Monsieur le Président , Mesdames et Messieurs , les perspectives financières esquissent la portée des activités de l’ UE pour les années à venir , fournissent un cadre pour ces activités et déterminent leur efficacité .
reserve should turn into thought - provoking policy	La réticence doit laisser place à une politique stimulante .
it is my profound belief that we can only advance through cooperation and negotiation	Je suis intimement convaincu que nous ne pourrons progresser que si nous coopérons et négocions .
the european union has territorial waters greater than its entire territory with 1 200 ports and 90 % of its exports are transported by sea	Le territoire marin de l' Union européenne est plus vaste que son territoire terrestre . On y dénombre 1 200 ports et 90 % de ses exportations sont acheminées par mer .
ostensibly he 's dead now	Apparemment , il est maintenant mort .
but at the moment the priority - let us make this very clear - is what we have on the table the 2004 countries and those countries in principle bulgaria and rumania which should enter in 2007	Cependant , pour le moment , la priorité -disons - le très nettement- est donnée au sujet actuellement sur la table : les pays candidats à l' adhésion en 2004 et les pays prévus pour 2007 , en principe la Bulgarie et la Roumanie .
take note of the intention of parliament to limit to four years	Prendre note de l’ intention du Parlement de limiter à quatre ans , ...
a concerted approach to the challenges posed by mental health is very important and should be tackled with the same seriousness as physical health	C' est pourquoi une réponse commune aux défis que représente la santé mentale est nécessaire et devrait être traitée avec le même sérieux que les problèmes de santé physique .
we should then have the courage to achieve real new developments and move forward with the convention implementing the schengen agreement	Nous devrions ainsi avoir le courage d' opérer de véritables changements dans cette convention d' application de l' accord de Schengen .
regulation applying a scheme of generalised tariff preferences vote	Règlement appliquant un schéma de préférences tarifaires généralisées ( vote )
this leads me to the second question why is intercultural dialogue important	Cela m' amène à ma deuxième question : pourquoi le dialogue interculturel est-il important ?
in addition it is vital to use energy efficiency	En outre , il est vital de promouvoir l’ efficacité énergétique .
